Q2center,Q2low,Q2High,stat, sys
0.0188, 0.0125, 0.025, 3.06, 1.82, 0.47
0.0313, 0.025, 0.0375, 0.779, 0.73, 0.22
0.0438, 0.0375, 0.05, 0.596, 0.547, 0.196
0.075, 0.05, 0.1, 1.25, 0.353, 0.195
0.125, 0.1, 0.15, 1.13, 0.179, 0.153
0.175, 0.15, 0.2, 0.962, 0.114, 0.124
0.25, 0.2, 0.3, 0.979, 0.0834, 0.107
0.35, 0.3, 0.4, 0.821, 0.0765, 0.0673
0.5, 0.4, 0.6, 0.49, 0.0525, 0.0579
0.7, 0.6, 0.8, 0.296, 0.0455, 0.0418
0.9, 0.8, 1.0, 0.206, 0.0387, 0.0343
1.1, 1.0, 1.2, 0.138, 0.0297, 0.0243
1.6, 1.2, 2.0, 0.0561, 0.0133, 0.00835
3.0, 2.0, 4.0, 0.0112, 0.00525, 0.00213
5.0, 4.0, 6.0, 0.00587, 0.004, 0.002
