E_nu (GeV),Flux,nu interaction models,detector simulation,vertex energy,sideband model,Total
1.5 - 2.0,0.101,0.041,0.031,0.017,0.002,0.115 
2.0 - 3.0,0.108,0.058,0.040,0.034,0.020,0.135 
3.0 - 4.0,0.099,0.053,0.041,0.037,0.027,0.127 
4.0 - 5.0,0.163,0.046,0.040,0.038,0.029,0.180 
5.0 - 7.0,0.146,0.031,0.034,0.034,0.023,0.159 
7.0 - 9.0,0.118,0.027,0.034,0.026,0.016,0.129 
9.0 - 11.0,0.132,0.034,0.044,0.029,0.019,0.147 
11.0 - 15.0,0.132,0.022,0.034,0.021,0.014,0.140 
15.0 - 20.0,0.128,0.015,0.022,0.013,0.009,0.132 

E_nubar (GeV),Flux,nu interaction models,detector simulation,vertex energy,sideband model,Total
1.5 - 2.0,0.216,0.497,0.309,0.308,0.111,0.704 
2.0 - 3.0,0.135,0.144,0.075,0.027,0.030,0.215 
3.0 - 4.0,0.100,0.095,0.065,0.021,0.026,0.156 
4.0 - 5.0,0.191,0.138,0.105,0.036,0.048,0.265 
5.0 - 7.0,0.164,0.065,0.073,0.025,0.028,0.194 
7.0 - 9.0,0.140,0.043,0.056,0.017,0.019,0.158 
9.0 - 11.0,0.148,0.038,0.048,0.014,0.015,0.161 
11.0 - 15.0,0.157,0.016,0.024,0.008,0.006,0.160 
15.0 - 20.0,0.154,0.052,0.066,0.017,0.024,0.178
