x,Curve1
0.434445,0.967742
1.42746,-0.322581
2.48254,14.8387
3.50659,52.9032
4.46858,111.935
5.49263,151.935
6.48565,181.935
7.47867,135.806
8.47168,135.806
9.52676,100
10.4888,95.8065
11.4507,71.6129
12.5058,77.0968
13.4678,62.9032
14.4919,58.7097
15.4849,47.7419
16.4779,59.0323
17.4709,53.871
18.4639,47.0968
19.488,55.8065
20.512,50.3226
21.474,53.2258
22.467,69.0323
23.46,52.9032
24.4841,50.9677
25.4771,39.0323
26.4701,28.0645
27.4631,45.1613
28.4251,43.871
29.4802,33.2258
30.4732,33.2258
31.4663,39.0323
32.4903,28.0645
33.4523,14.1935
34.4453,17.0968
35.4694,20
36.4624,15.1613
37.4864,10
38.4794,4.19355
39.4725,7.09677
