Degrees,0 - 5,5 - 10,10 -15,15 - 20,20 - 25,25 - 30,30 - 35,35 - 40,40 - 45,45 - 50,50 - 60,60 - 70
0 - 5,0.1420,0.1742,0.1132,0.0416,0.0509,0.0353,0.0573,0.0565,0.0422,0.0258,0.0460,0.0530
5 - 10,0.1742,0.2246,0.1452,0.0569,0.0686,0.0492,0.0748,0.0740,0.0559,0.0351,0.0603,0.0682
10 -15,0.1132,0.1452,0.1047,0.0389,0.0476,0.0350,0.0532,0.0524,0.0399,0.0254,0.0420,0.0466
15 - 20,0.0416,0.0569,0.0389,0.0289,0.0235,0.0192,0.0218,0.0208,0.0157,0.0099,0.0147,0.0155
20 - 25,0.0509,0.0686,0.0476,0.0235,0.0380,0.0223,0.0277,0.0267,0.0204,0.0131,0.0194,0.0203
25 - 30,0.0353,0.0492,0.0350,0.0192,0.0223,0.0299,0.0218,0.0210,0.0163,0.0109,0.0149,0.0146
30 - 35,0.0573,0.0748,0.0532,0.0218,0.0277,0.0218,0.0433,0.0332,0.0261,0.0179,0.0262,0.0267
35 - 40,0.0565,0.0740,0.0524,0.0208,0.0267,0.0210,0.0332,0.0425,0.0265,0.0185,0.0271,0.0273
40 - 45,0.0422,0.0559,0.0399,0.0157,0.0204,0.0163,0.0261,0.0265,0.0279,0.0155,0.0224,0.0220
45 - 50,0.0258,0.0351,0.0254,0.0099,0.0131,0.0109,0.0179,0.0185,0.0155,0.0171,0.0167,0.0157
50 - 60,0.0460,0.0603,0.0420,0.0147,0.0194,0.0149,0.0262,0.0271,0.0224,0.0167,0.0298,0.0250
60 - 70,0.0530,0.0682,0.0466,0.0155,0.0203,0.0146,0.0267,0.0273,0.0220,0.0157,0.0250,0.0275
